0.05	0.05	1.10283e+21
0.1	0.05	6.70418e+20
0.15	0.05	4.48816e+20
0.2	0.05	2.6946e+20
0.25	0.05	1.2433e+20
0.3	0.05	-8.32309e+18
0.35	0.05	-1.40698e+20
0.4	0.05	-2.85663e+20
0.45	0.05	-4.63864e+20
0.5	0.05	-6.85594e+20
0.55	0.05	-1.11441e+21
0.05	0.1	1.95436e+21
0.1	0.1	1.25659e+21
0.15	0.1	8.63715e+20
0.2	0.1	5.17949e+20
0.25	0.1	2.41544e+20
0.3	0.1	-1.70762e+19
0.35	0.1	-2.75413e+20
0.4	0.1	-5.51135e+20
0.45	0.1	-8.95494e+20
0.5	0.1	-1.28722e+21
0.55	0.1	-1.98185e+21
0.05	0.15	2.50887e+21
0.1	0.15	1.6938e+21
0.15	0.15	1.1827e+21
0.2	0.15	7.18768e+20
0.25	0.15	3.35047e+20
0.3	0.15	-2.60503e+19
0.35	0.15	-3.86778e+20
0.4	0.15	-7.69499e+20
0.45	0.15	-1.23153e+21
0.5	0.15	-1.7407e+21
0.55	0.15	-2.55246e+21
0.05	0.2	2.86765e+21
0.1	0.2	1.98823e+21
0.15	0.2	1.40477e+21
0.2	0.2	8.6102e+20
0.25	0.2	4.00542e+20
0.3	0.2	-3.53845e+19
0.35	0.2	-4.70885e+20
0.4	0.2	-9.30126e+20
0.45	0.2	-1.47153e+21
0.5	0.2	-2.05221e+21
0.55	0.2	-2.92792e+21
0.05	0.25	3.06439e+21
0.1	0.25	2.15332e+21
0.15	0.25	1.53117e+21
0.2	0.25	9.41718e+20
0.25	0.25	4.35581e+20
0.3	0.25	-4.51471e+19
0.35	0.25	-5.25416e+20
0.4	0.25	-1.03014e+21
0.45	0.25	-1.61687e+21
0.5	0.25	-2.2354e+21
0.55	0.25	-3.14206e+21
0.05	0.3	3.12241e+21
0.1	0.3	2.20143e+21
0.15	0.3	1.56657e+21
0.2	0.3	9.61878e+20
0.25	0.3	4.40664e+20
0.3	0.3	-5.5426e+19
0.35	0.3	-5.51086e+20
0.4	0.3	-1.07081e+21
0.45	0.3	-1.67247e+21
0.5	0.3	-2.30298e+21
0.55	0.3	-3.2186e+21
0.05	0.35	3.04684e+21
0.1	0.35	2.13576e+21
0.15	0.35	1.51287e+21
0.2	0.35	9.2268e+20
0.25	0.35	4.15565e+20
0.3	0.35	-6.63047e+19
0.35	0.35	-5.47757e+20
0.4	0.35	-1.05343e+21
0.45	0.35	-1.64057e+21
0.5	0.35	-2.25867e+21
0.55	0.35	-3.16347e+21
0.05	0.4	2.83277e+21
0.1	0.4	1.95334e+21
0.15	0.4	1.36834e+21
0.2	0.4	8.23073e+20
0.25	0.4	3.60547e+20
0.3	0.4	-7.76994e+19
0.35	0.4	-5.15676e+20
0.4	0.4	-9.77087e+20
0.45	0.4	-1.51978e+21
0.5	0.4	-2.10019e+21
0.55	0.4	-2.97305e+21
0.05	0.45	2.45718e+21
0.1	0.45	1.64201e+21
0.15	0.45	1.1285e+21
0.2	0.45	6.62205e+20
0.25	0.45	2.75314e+20
0.3	0.45	-8.94227e+19
0.35	0.45	-4.5421e+20
0.4	0.45	-8.40836e+20
0.45	0.45	-1.3061e+21
0.5	0.45	-1.81628e+21
0.55	0.45	-2.62603e+21
0.05	0.5	1.88644e+21
0.1	0.5	1.18857e+21
0.15	0.5	7.92417e+20
0.2	0.5	4.43402e+20
0.25	0.5	1.62647e+20
0.3	0.5	-1.01103e+20
0.35	0.5	-3.65515e+20
0.4	0.5	-6.4769e+20
0.45	0.5	-9.9852e+20
0.5	0.5	-1.39399e+21
0.55	0.5	-2.09063e+21
0.05	0.55	1.0196e+21
0.1	0.55	5.86741e+20
0.15	0.55	3.60919e+20
0.2	0.55	1.77743e+20
0.25	0.55	2.70635e+19
0.3	0.55	-1.1213e+20
0.35	0.55	-2.5321e+20
0.4	0.55	-4.07676e+20
0.45	0.55	-5.98065e+20
0.5	0.55	-8.27372e+20
0.55	0.55	-1.2679e+21
