-0.0101154	0
-0.0144575	0.025
-0.0320801	0.05
-0.0483474	0.075
-0.0625873	0.1
-0.0761909	0.125
-0.0889142	0.15
-0.100978	0.175
-0.112514	0.2
-0.12361	0.225
-0.134338	0.25
-0.144735	0.275
-0.154813	0.3
-0.164556	0.325
-0.17391	0.35
-0.182784	0.375
-0.191049	0.4
-0.198527	0.425
-0.20498	0.45
-0.21012	0.475
-0.213598	0.5
-0.214987	0.525
-0.213779	0.55
-0.209398	0.575
-0.201195	0.6
-0.188426	0.625
-0.170262	0.65
-0.145828	0.675
-0.114219	0.7
-0.0744805	0.725
-0.0256489	0.75
0.0331403	0.775
0.102606	0.8
0.183405	0.825
0.27579	0.85
0.379942	0.875
0.496426	0.9
0.618608	0.925
0.762702	0.95
0.909672	0.975
0.832829	1
