1.10193 0.0440901  0.0362526
1.18169 0.0587009  0.0419342
1.27104 0.0523842  0.0323702
1.40209 0.132959  0.0670316
1.50027 0.109922  0.0485761
1.63297 0.073683  0.0275758
1.71296 0.059407  0.0202219
1.82313 0.142896  0.0427295

1.89537 0.0140038  0.00389793
1.01679 0.202888  0.188729
1.11281 0.156312  0.123784
1.24841 0.155361  0.0981632
1.37182 0.245113  0.126219
1.51995 0.20865  0.0886445
1.55805 0.264506  0.105909
1.7364 0.234894  0.0765064

1.84197 0.306212  0.0878251
1.93364 0.285005  0.0746049
1.05075 0.279382  0.236337
1.09304 0.298225  0.232322
1.2567 0.417482  0.238075
1.36328 0.375246  0.187684
1.42271 0.364322  0.168914
1.52246 0.38843  0.157337

1.63225 0.454932  0.158447
1.81827 0.482927  0.136446
1.89233 0.50042  0.130613
0.974097 0.366617  0.338435
1.12541 0.425992  0.294189
1.18797 0.431182  0.269965
1.31874 0.493934  0.249078
1.35847 0.567898  0.261952

1.47882 0.670177  0.254236
1.62413 0.661589  0.215117
1.62363 0.766318  0.237734
1.85437 0.678573  0.174031
0.953976 0.533896  0.446732
1.04207 0.517265  0.382177
1.1365 0.63841  0.375715
1.1611 0.717253  0.385083

1.37436 0.712884  0.297399
1.38145 0.783987  0.31073
1.49848 0.85314  0.286936
1.63986 0.882193  0.254424
1.76273 0.893935  0.228842
0.855715 0.60888  0.55203
0.924239 0.680032  0.516482
0.972932 0.756335  0.498035

1.10237 0.844117  0.437874
1.20294 0.874906  0.395433
1.37195 0.907547  0.335396
1.39875 1.03886  0.342212
1.549 1.02286  0.296856
1.61002 1.1391  0.29285
0.837472 0.680719  0.584439
0.850051 0.794182  0.586843

0.915504 0.858857  0.545035
0.995211 0.944406  0.501717
1.14571 0.947113  0.428621
1.21062 1.01451  0.406644
1.2517 1.14865  0.397987
1.37248 1.24518  0.362586
1.40305 1.31737  0.355659
0.679915 0.808336  0.724516

0.749946 0.907247  0.654808
0.851108 0.941357  0.584499
0.934416 0.96698  0.53478
0.944623 1.12079  0.521666
1.00592 1.23051  0.487132
1.1927 1.21082  0.41917
1.21873 1.43221  0.404977
1.34854 1.43372  0.370077

0.64643 0.831895  0.749509
0.616503 0.936299  0.745027
0.749035 0.996432  0.641234
0.781533 1.09078  0.60579
0.859684 1.27269  0.539551
0.94832 1.24367  0.508445
0.989888 1.40585  0.475545
1.15195 1.48446  0.420455

1.14113 1.56417  0.417245
0.513781 0.924183  0.826576
0.545319 1.02951  0.758519
0.576916 1.11344  0.708035
0.672759 1.22783  0.62639
0.72799 1.344  0.575268
0.765241 1.39231  0.551602
0.809099 1.55778  0.505555

0.82956 1.64528  0.484602
0.89663 1.73673  0.454621
0.376348 0.94356  0.914352
0.386796 1.07252  0.825069
0.511312 1.15555  0.723697
0.475123 1.26468  0.692916
0.64523 1.3872  0.592656
0.675478 1.50725  0.552495

0.669159 1.58115  0.536382
0.633892 1.74071  0.507217
0.647329 1.79109  0.493817
0.275464 1.0393  0.899029
0.324834 1.11955  0.823857
0.315395 1.21718  0.76988
0.418912 1.27214  0.709176
0.40173 1.44759  0.641404

0.488917 1.48286  0.608248
0.538416 1.62299  0.555062
0.494312 1.79183  0.51862
0.597331 1.80486  0.499364
0.216977 1.07136  0.896614
0.181737 1.19722  0.816453
0.166466 1.24322  0.790199
0.208972 1.41266  0.692727

0.235178 1.45843  0.668291
0.292787 1.5988  0.605175
0.316733 1.6967  0.569533
0.38389 1.75023  0.545128
0.354456 1.94443  0.497749
0.0252821 1.0848  0.921329
0.0868267 1.16429  0.854144
0.0697607 1.26804  0.786238

0.0357982 1.38265  0.722766
0.13097 1.50601  0.659021
0.0601235 1.60112  0.623684
0.132054 1.69801  0.585383
0.151631 1.86435  0.532856
0.18437 1.98206  0.500197
