1.10193 0.0440901  0.0037414
1.18169 0.0587009  0.00132064
1.27104 0.0523842  0.00163352
1.40209 0.132959  0.00261067
1.50027 0.109922  0.00241319
1.63297 0.073683  0.00138122
1.71296 0.059407  0.000850059
1.82313 0.142896  0.000777025

1.89537 0.0140038  1.68838e-05
1.01679 0.202888  0.000271441
1.11281 0.156312  0.00180395
1.24841 0.155361  0.00188646
1.37182 0.245113  0.00225682
1.51995 0.20865  0.00207925
1.55805 0.264506  0.00196336
1.7364 0.234894  0.00134783

1.84197 0.306212  0.000955362
1.93364 0.285005  0.000303556
1.05075 0.279382  0.000976055
1.09304 0.298225  0.00120467
1.2567 0.417482  0.00130831
1.36328 0.375246  0.00179544
1.42271 0.364322  0.00187172
1.52246 0.38843  0.00182176

1.63225 0.454932  0.00163246
1.81827 0.482927  0.000941773
1.89233 0.50042  0.000362878
0.974097 0.366617  4.15748e-05
1.12541 0.425992  0.000572519
1.18797 0.431182  0.000888902
1.31874 0.493934  0.00105533
1.35847 0.567898  0.000861439

1.47882 0.670177  0.000869122
1.62413 0.661589  0.00107012
1.62363 0.766318  0.000784124
1.85437 0.678573  0.000147213
0.953976 0.533896  0.00188774
1.04207 0.517265  0.000833117
1.1365 0.63841  0.000742755
1.1611 0.717253  0.000847425

1.37436 0.712884  0.000382596
1.38145 0.783987  0.000236853
1.49848 0.85314  0.000499534
1.63986 0.882193  0.000538655
1.76273 0.893935  1.53548e-05
0.855715 0.60888  0.00191394
0.924239 0.680032  0.00227383
0.972932 0.756335  0.00236462

1.10237 0.844117  0.00147822
1.20294 0.874906  0.000805441
1.37195 0.907547  5.89501e-05
1.39875 1.03886  0.000225446
1.549 1.02286  0.000514762
1.61002 1.1391  7.95116e-05
0.837472 0.680719  0.00347433
0.850051 0.794182  0.00386243

0.915504 0.858857  0.0028798
0.995211 0.944406  0.00216081
1.14571 0.947113  0.00116643
1.21062 1.01451  0.000712522
1.2517 1.14865  0.000287332
1.37248 1.24518  0.000298739
1.40305 1.31737  0.000328261
0.679915 0.808336  0.00317493

0.749946 0.907247  0.00311983
0.851108 0.941357  0.00302883
0.934416 0.96698  0.00249237
0.944623 1.12079  0.00197838
1.00592 1.23051  0.00117099
1.1927 1.21082  0.000437922
1.21873 1.43221  0.000126374
1.34854 1.43372  0.000176895

0.64643 0.831895  0.00301023
0.616503 0.936299  0.00352491
0.749035 0.996432  0.00317318
0.781533 1.09078  0.00293022
0.859684 1.27269  0.00161133
0.94832 1.24367  0.00136394
0.989888 1.40585  0.000251753
1.15195 1.48446  0.000278143

1.14113 1.56417  0.000324881
0.513781 0.924183  0.00416885
0.545319 1.02951  0.00379055
0.576916 1.11344  0.00375098
0.672759 1.22783  0.00279453
0.72799 1.344  0.00166009
0.765241 1.39231  0.00112455
0.809099 1.55778  0.000205255

0.82956 1.64528  0.000640316
0.89663 1.73673  0.000246661
0.376348 0.94356  0.000787673
0.386796 1.07252  0.00500885
0.511312 1.15555  0.00393116
0.475123 1.26468  0.00328258
0.64523 1.3872  0.00160677
0.675478 1.50725  0.000458342

0.669159 1.58115  0.000138469
0.633892 1.74071  0.000982848
0.647329 1.79109  0.00104071
0.275464 1.0393  0.00706329
0.324834 1.11955  0.00518601
0.315395 1.21718  0.00419545
0.418912 1.27214  0.00336509
0.40173 1.44759  0.00127909

0.488917 1.48286  0.000922606
0.538416 1.62299  0.000375885
0.494312 1.79183  0.00144017
0.597331 1.80486  0.00108477
0.216977 1.07136  0.00773122
0.181737 1.19722  0.00476222
0.166466 1.24322  0.00344495
0.208972 1.41266  0.00106583

0.235178 1.45843  0.000597819
0.292787 1.5988  0.000798057
0.316733 1.6967  0.0016766
0.38389 1.75023  0.00171999
0.354456 1.94443  3.87659e-05
0.0252821 1.0848  0.00522216
0.0868267 1.16429  0.00360511
0.0697607 1.26804  0.000937583

0.0357982 1.38265  4.7399e-05
0.13097 1.50601  0.000823008
0.0601235 1.60112  0.00147752
0.132054 1.69801  0.00273205
0.151631 1.86435  0.00349128
0.18437 1.98206  0.000274898
