1.20039 1.10504  0.415108
1.23911 1.14068  0.402136
1.27784 1.17633  0.38995
1.31656 1.21198  0.378481
1.35528 1.24762  0.367667
1.394 1.28327  0.357454
1.43273 1.31892  0.347793
1.47145 1.35456  0.338641

0.677282 0.735724  0.735724
0.712928 0.774446  0.698938
0.748574 0.813169  0.665655
0.784221 0.851891  0.635398
0.819867 0.890613  0.607772
0.855514 0.929335  0.582448
0.89116 0.968058  0.55915
0.926806 1.00678  0.537644
0.962453 1.0455  0.517732
0.998099 1.08422  0.499241
1.03375 1.12295  0.482026
1.06939 1.16167  0.465958
1.10504 1.20039  0.450928
1.14068 1.23911  0.436836
1.17633 1.27784  0.423599
1.21198 1.31656  0.41114
1.24762 1.35528  0.399393
1.28327 1.394  0.388299
1.31892 1.43273  0.377804
1.35456 1.47145  0.367862

0.614213 0.789141  0.789141
0.64654 0.830674  0.749683
0.678867 0.872208  0.713984
0.711194 0.913742  0.68153
0.743521 0.955275  0.651899
0.775848 0.996809  0.624736
0.808175 1.03834  0.599747
0.840502 1.07988  0.57668
0.872829 1.12141  0.555321
0.905156 1.16294  0.535488
0.937483 1.20448  0.517023
0.96981 1.24601  0.499789
1.00214 1.28755  0.483667
1.03446 1.32908  0.468552
1.06679 1.37061  0.454354
1.09912 1.41215  0.44099
1.13144 1.45368  0.428391
1.16377 1.49521  0.416491
1.1961 1.53675  0.405234
1.22843 1.57828  0.39457

0.546948 0.837166  0.837166
0.575735 0.881228  0.795308
0.604522 0.925289  0.757436
0.633308 0.969351  0.723007
0.662095 1.01341  0.691572
0.690882 1.05747  0.662757
0.719669 1.10153  0.636247
0.748455 1.1456  0.611776
0.777242 1.18966  0.589117
0.806029 1.23372  0.568077
0.834816 1.27778  0.548488
0.863602 1.32184  0.530205
0.892389 1.3659  0.513102
0.921176 1.40996  0.497068
0.949963 1.45403  0.482005
0.978749 1.49809  0.467828
1.00754 1.54215  0.454462
1.03632 1.58621  0.441838
1.06511 1.63027  0.429896
1.0939 1.67433  0.418583

0.475947 0.879474  0.879474
0.500997 0.925762  0.8355
0.526047 0.97205  0.795714
0.551097 1.01834  0.759546
0.576147 1.06463  0.726522
0.601197 1.11091  0.69625
0.626247 1.1572  0.6684
0.651296 1.20349  0.642692
0.676346 1.24978  0.618889
0.701396 1.29607  0.596786
0.726446 1.34235  0.576207
0.751496 1.38864  0.557
0.776546 1.43493  0.539032
0.801596 1.48122  0.522188
0.826645 1.52751  0.506364
0.851695 1.5738  0.491471
0.876745 1.62008  0.477429
0.901795 1.66637  0.464167
0.926845 1.71266  0.451622
0.951895 1.75895  0.439737

0.401695 0.915773  0.915773
0.422837 0.963972  0.869985
0.443979 1.01217  0.828557
0.465121 1.06037  0.790895
0.486263 1.10857  0.756508
0.507405 1.15677  0.724987
0.528547 1.20496  0.695988
0.549688 1.25316  0.669219
0.57083 1.30136  0.644433
0.591972 1.34956  0.621418
0.613114 1.39776  0.599989
0.634256 1.44596  0.57999
0.655398 1.49416  0.56128
0.67654 1.54236  0.54374
0.697682 1.59055  0.527263
0.718823 1.63875  0.511756
0.739965 1.68695  0.497134
0.761107 1.73515  0.483325
0.782249 1.78335  0.470262
0.803391 1.83155  0.457887

0.324699 0.945817  0.945817
0.341789 0.995597  0.898526
0.358878 1.04538  0.855739
0.375968 1.09516  0.816842
0.393057 1.14494  0.781327
0.410147 1.19472  0.748772
0.427236 1.2445  0.718821
0.444326 1.29428  0.691174
0.461415 1.34406  0.665575
0.478504 1.39384  0.641805
0.495594 1.44362  0.619673
0.512683 1.4934  0.599018
0.529773 1.54318  0.579694
0.546862 1.59296  0.561579
0.563952 1.64274  0.544561
0.581041 1.69252  0.528545
0.598131 1.74229  0.513444
0.61522 1.79207  0.499181
0.632309 1.84185  0.48569
0.649399 1.89163  0.472909

0.245485 0.9694  0.9694
0.258406 1.02042  0.92093
0.271326 1.07144  0.877076
0.284246 1.12246  0.837209
0.297167 1.17348  0.800809
0.310087 1.22451  0.767442
0.323007 1.27553  0.736744
0.335928 1.32655  0.708408
0.348848 1.37757  0.682171
0.361768 1.42859  0.657807
0.374688 1.47961  0.635124
0.387609 1.53063  0.613954
0.400529 1.58165  0.594149
0.413449 1.63267  0.575581
0.42637 1.6837  0.55814
0.43929 1.73472  0.541724
0.45221 1.78574  0.526246
0.46513 1.83676  0.511628
0.478051 1.88778  0.4978
0.490971 1.9388  0.4847

0.164595 0.986361  0.986361
0.173257 1.03828  0.937043
0.18192 1.09019  0.892422
0.190583 1.1421  0.851857
0.199246 1.19402  0.81482
0.207909 1.24593  0.780869
0.216572 1.29784  0.749635
0.225235 1.34976  0.720802
0.233898 1.40167  0.694106
0.24256 1.45359  0.669317
0.251223 1.5055  0.646237
0.259886 1.55741  0.624695
0.268549 1.60933  0.604544
0.277212 1.66124  0.585652
0.285875 1.71315  0.567905
0.294538 1.76507  0.551202
0.303201 1.81698  0.535453
0.311863 1.8689  0.52058
0.320526 1.92081  0.50651
0.329189 1.97272  0.493181

0.0825793 0.996584  0.996584
0.0869256 1.04904  0.946755
0.0912719 1.10149  0.901672
0.0956182 1.15394  0.860687
0.0999645 1.20639  0.823265
0.104311 1.25884  0.788963
0.108657 1.3113  0.757404
0.113003 1.36375  0.728273
0.11735 1.4162  0.7013
0.121696 1.46865  0.676254
0.126042 1.5211  0.652935
0.130388 1.57355  0.63117
0.134735 1.62601  0.61081
0.139081 1.67846  0.591722
0.143427 1.73091  0.573791
0.147774 1.78336  0.556915
0.15212 1.83581  0.541003
0.156466 1.88827  0.525975
0.160812 1.94072  0.51176
0.165159 1.99317  0.498292

6.12303e-17 1  1
6.4453e-17 1.05263  0.95
6.76756e-17 1.10526  0.904762
7.08983e-17 1.15789  0.863636
7.41209e-17 1.21053  0.826087
7.73436e-17 1.26316  0.791667
8.05662e-17 1.31579  0.76
8.37889e-17 1.36842  0.730769
8.70115e-17 1.42105  0.703704
9.02342e-17 1.47368  0.678571
9.34568e-17 1.52632  0.655172
9.66794e-17 1.57895  0.633333
9.99021e-17 1.63158  0.612903
1.03125e-16 1.68421  0.59375
1.06347e-16 1.73684  0.575758
1.0957e-16 1.78947  0.558824
1.12793e-16 1.84211  0.542857
1.16015e-16 1.89474  0.527778
1.19238e-16 1.94737  0.513514
1.22461e-16 2  0.5

