0	1
0.0510204	1
0.102041	1
0.153061	1
0.204082	1
0.255102	1
0.306122	1
0.357143	1
0.408163	1
0.459184	1
0.510204	1
0.561224	1
0.612245	1
0.663265	1
0.714286	1
0.765306	1
0.816327	0.99998
0.867347	0.998482
0.918367	0.965865
0.969388	0.752478
1.02041	0.323261
1.07143	0.0548539
1.12245	0.00306808
1.17347	5.19448e-05
1.22449	2.55373e-07
1.27551	3.56583e-10
1.32653	1.39619e-13
1.37755	1.5208e-17
1.42857	4.58436e-22
1.47959	3.81061e-27
1.53061	8.71163e-33
1.58163	5.46719e-39
1.63265	9.40502e-46
1.68367	4.42993e-53
1.73469	5.70808e-61
1.78571	2.01061e-69
1.83673	1.93489e-78
1.88776	5.08473e-88
1.93878	3.64741e-98
1.9898	7.13938e-109
2.04082	3.81214e-120
2.09184	5.55138e-132
2.14286	2.20427e-144
2.19388	2.38605e-157
2.2449	7.03997e-171
2.29592	5.66081e-185
2.34694	1.24036e-199
2.39796	7.40502e-215
2.44898	1.2044e-230
2.5	0
